location,gmm_cluster,cluster_label,cluster_category,feature,value
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,-0.9858449815599016
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,-0.9093212048401964
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,0.3693081963840788
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,0.0920498566925021
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,-0.6017669705104272
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1937251359191328
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-0.0912657671231082
Angola,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,-1.1278427407530478
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,0.2022162133817278
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,-0.375829456346796
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,-0.593257601161616
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,0.2144343252495786
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,-0.127155481168951
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1962422878919808
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-1.2532523835531673
Anguilla,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,-0.9225378873655576
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,-0.525590597103602
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,0.2335534215896656
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,0.2412664206136169
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,0.3776136166590139
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,-0.4156983520573601
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1961387951730923
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-0.5972921968587791
Antigua and Barbuda,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,1.5396528583484872
Argentina,3,High-Risk Regions,High-Risk Regions,case_rate_per_100k,0.0851279301492405
Argentina,3,High-Risk Regions,High-Risk Regions,mortality_rate_per_100k,1.2330906446347036
Argentina,3,High-Risk Regions,High-Risk Regions,testing_rate_per_1k,0.0
Argentina,3,High-Risk Regions,High-Risk Regions,vaccination_rate_pct,-0.0771346587725072
Argentina,3,High-Risk Regions,High-Risk Regions,hospitalization_rate_per_100k,-0.0647081069505546
Argentina,3,High-Risk Regions,High-Risk Regions,icu_rate_per_100k,-0.045597059625042
Argentina,3,High-Risk Regions,High-Risk Regions,case_fatality_rate_pct,0.0417722896545156
Argentina,3,High-Risk Regions,High-Risk Regions,recent_case_growth,-0.1401125548326008
Argentina,3,High-Risk Regions,High-Risk Regions,recent_death_growth,-0.0740585546875668
Argentina,3,High-Risk Regions,High-Risk Regions,days_to_peak,0.336818793806655
Argentina,3,High-Risk Regions,High-Risk Regions,peak_case_rate_per_100k,-0.1163628503766494
Argentina,3,High-Risk Regions,High-Risk Regions,recovery_speed,-0.1414119356612576
Argentina,3,High-Risk Regions,High-Risk Regions,days_to_50pct_vax,0.6865155971002377
Argentina,3,High-Risk Regions,High-Risk Regions,vax_acceleration,-0.2821960653980882
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,-0.204923285064412
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,1.4503225160442057
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,0.4584703779254728
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,0.4592032623637315
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,-0.3638807123006783
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1895726689523293
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-0.0912657671231082
Armenia,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,-0.7569907337080822
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,1.0314587359287308
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,1.1355607509940016
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,-0.3660118012780839
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,0.2144343252495786
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,0.9076475088390562
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1942458232286177
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-1.375073561082125
Aruba,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,-1.0553951377259805
Australia,3,High-Risk Regions,High-Risk Regions,case_rate_per_100k,1.215868025768707
Australia,3,High-Risk Regions,High-Risk Regions,mortality_rate_per_100k,-0.2174461744442996
Australia,3,High-Risk Regions,High-Risk Regions,testing_rate_per_1k,0.0
Australia,3,High-Risk Regions,High-Risk Regions,vaccination_rate_pct,-0.0771346587725072
Australia,3,High-Risk Regions,High-Risk Regions,hospitalization_rate_per_100k,-0.0647081069505546
Australia,3,High-Risk Regions,High-Risk Regions,icu_rate_per_100k,-0.045597059625042
Australia,3,High-Risk Regions,High-Risk Regions,case_fatality_rate_pct,-0.654184443530791
Australia,3,High-Risk Regions,High-Risk Regions,recent_case_growth,-0.2217199049194657
Australia,3,High-Risk Regions,High-Risk Regions,recent_death_growth,-0.0909244388084104
Australia,3,High-Risk Regions,High-Risk Regions,days_to_peak,0.5407929080684492
Australia,3,High-Risk Regions,High-Risk Regions,peak_case_rate_per_100k,0.0460077328368535
Australia,3,High-Risk Regions,High-Risk Regions,recovery_speed,-0.8076629217960366
Australia,3,High-Risk Regions,High-Risk Regions,days_to_50pct_vax,0.1055222888852082
Australia,3,High-Risk Regions,High-Risk Regions,vax_acceleration,3.3328947356265486
Austria,3,High-Risk Regions,High-Risk Regions,case_rate_per_100k,2.3276914897711447
Austria,3,High-Risk Regions,High-Risk Regions,mortality_rate_per_100k,0.9665870184104433
Austria,3,High-Risk Regions,High-Risk Regions,testing_rate_per_1k,0.0
Austria,3,High-Risk Regions,High-Risk Regions,vaccination_rate_pct,-0.0771346587725072
Austria,3,High-Risk Regions,High-Risk Regions,hospitalization_rate_per_100k,-0.0647081069505546
Austria,3,High-Risk Regions,High-Risk Regions,icu_rate_per_100k,-0.045597059625042
Austria,3,High-Risk Regions,High-Risk Regions,case_fatality_rate_pct,-0.552625484154745
Austria,3,High-Risk Regions,High-Risk Regions,recent_case_growth,-0.2068822049036721
Austria,3,High-Risk Regions,High-Risk Regions,recent_death_growth,-0.0909244388084104
Austria,3,High-Risk Regions,High-Risk Regions,days_to_peak,0.7447670223302433
Austria,3,High-Risk Regions,High-Risk Regions,peak_case_rate_per_100k,0.4316530831983117
Austria,3,High-Risk Regions,High-Risk Regions,recovery_speed,-0.1041185840431048
Austria,3,High-Risk Regions,High-Risk Regions,days_to_50pct_vax,-0.1474909259826272
Austria,3,High-Risk Regions,High-Risk Regions,vax_acceleration,-0.1565142270337782
Azerbaijan,3,High-Risk Regions,High-Risk Regions,case_rate_per_100k,-0.6059199591054231
Azerbaijan,3,High-Risk Regions,High-Risk Regions,mortality_rate_per_100k,-0.190464845769938
Azerbaijan,3,High-Risk Regions,High-Risk Regions,testing_rate_per_1k,0.0
Azerbaijan,3,High-Risk Regions,High-Risk Regions,vaccination_rate_pct,-0.0771346587725072
Azerbaijan,3,High-Risk Regions,High-Risk Regions,hospitalization_rate_per_100k,-0.0647081069505546
Azerbaijan,3,High-Risk Regions,High-Risk Regions,icu_rate_per_100k,-0.045597059625042
Azerbaijan,3,High-Risk Regions,High-Risk Regions,case_fatality_rate_pct,0.0064972238507275
Azerbaijan,3,High-Risk Regions,High-Risk Regions,recent_case_growth,-0.1457650119814746
Azerbaijan,3,High-Risk Regions,High-Risk Regions,recent_death_growth,-0.0909244388084104
Azerbaijan,3,High-Risk Regions,High-Risk Regions,days_to_peak,0.5407929080684492
Azerbaijan,3,High-Risk Regions,High-Risk Regions,peak_case_rate_per_100k,-0.4780494440317528
Azerbaijan,3,High-Risk Regions,High-Risk Regions,recovery_speed,0.1850297971437938
Azerbaijan,3,High-Risk Regions,High-Risk Regions,days_to_50pct_vax,-0.0912657671231082
Azerbaijan,3,High-Risk Regions,High-Risk Regions,vax_acceleration,0.3735692311722815
Bahamas,3,High-Risk Regions,High-Risk Regions,case_rate_per_100k,-0.5337774889256277
Bahamas,3,High-Risk Regions,High-Risk Regions,mortality_rate_per_100k,0.624378716459417
Bahamas,3,High-Risk Regions,High-Risk Regions,testing_rate_per_1k,0.0
Bahamas,3,High-Risk Regions,High-Risk Regions,vaccination_rate_pct,-0.0771346587725072
Bahamas,3,High-Risk Regions,High-Risk Regions,hospitalization_rate_per_100k,-0.0647081069505546
Bahamas,3,High-Risk Regions,High-Risk Regions,icu_rate_per_100k,-0.045597059625042
Bahamas,3,High-Risk Regions,High-Risk Regions,case_fatality_rate_pct,0.6060716059750556
Bahamas,3,High-Risk Regions,High-Risk Regions,recent_case_growth,-0.1740272977258434
Bahamas,3,High-Risk Regions,High-Risk Regions,recent_death_growth,-0.0909244388084104
Bahamas,3,High-Risk Regions,High-Risk Regions,days_to_peak,0.2552291481019374
Bahamas,3,High-Risk Regions,High-Risk Regions,peak_case_rate_per_100k,-0.3878676427315851
Bahamas,3,High-Risk Regions,High-Risk Regions,recovery_speed,0.1957148753578651
Bahamas,3,High-Risk Regions,High-Risk Regions,days_to_50pct_vax,-0.0912657671231082
Bahamas,3,High-Risk Regions,High-Risk Regions,vax_acceleration,-0.4991353089339741
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,1.3139979691335486
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,-0.1571489424501437
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,-0.6492045155608585
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,0.4999980852160903
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,0.4077877655216285
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1600115291736821
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-1.2907358227928465
Bahrain,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,-0.2232985486815741
Bangladesh,3,High-Risk Regions,High-Risk Regions,case_rate_per_100k,-0.9419998819301192
Bangladesh,3,High-Risk Regions,High-Risk Regions,mortality_rate_per_100k,-0.8196477176403596
Bangladesh,3,High-Risk Regions,High-Risk Regions,testing_rate_per_1k,0.0
Bangladesh,3,High-Risk Regions,High-Risk Regions,vaccination_rate_pct,-0.0771346587725072
Bangladesh,3,High-Risk Regions,High-Risk Regions,hospitalization_rate_per_100k,-0.0647081069505546
Bangladesh,3,High-Risk Regions,High-Risk Regions,icu_rate_per_100k,-0.045597059625042
Bangladesh,3,High-Risk Regions,High-Risk Regions,case_fatality_rate_pct,0.1348173674902402
Bangladesh,3,High-Risk Regions,High-Risk Regions,recent_case_growth,-0.180739590590131
Bangladesh,3,High-Risk Regions,High-Risk Regions,recent_death_growth,-0.0824914967479886
Bangladesh,3,High-Risk Regions,High-Risk Regions,days_to_peak,0.4184084395113727
Bangladesh,3,High-Risk Regions,High-Risk Regions,peak_case_rate_per_100k,-0.5939088692002695
Bangladesh,3,High-Risk Regions,High-Risk Regions,recovery_speed,0.16383934291346
Bangladesh,3,High-Risk Regions,High-Risk Regions,days_to_50pct_vax,1.0613499894970309
Bangladesh,3,High-Risk Regions,High-Risk Regions,vax_acceleration,0.0643015274305813
Barbados,3,High-Risk Regions,High-Risk Regions,case_rate_per_100k,0.885282204876259
Barbados,3,High-Risk Regions,High-Risk Regions,mortality_rate_per_100k,0.6507669243531897
Barbados,3,High-Risk Regions,High-Risk Regions,testing_rate_per_1k,0.0
Barbados,3,High-Risk Regions,High-Risk Regions,vaccination_rate_pct,-0.0771346587725072
Barbados,3,High-Risk Regions,High-Risk Regions,hospitalization_rate_per_100k,-0.0647081069505546
Barbados,3,High-Risk Regions,High-Risk Regions,icu_rate_per_100k,-0.045597059625042
Barbados,3,High-Risk Regions,High-Risk Regions,case_fatality_rate_pct,-0.4395138748785848
Barbados,3,High-Risk Regions,High-Risk Regions,recent_case_growth,-0.1690813977205789
Barbados,3,High-Risk Regions,High-Risk Regions,recent_death_growth,-0.0909244388084104
Barbados,3,High-Risk Regions,High-Risk Regions,days_to_peak,0.3776136166590139
Barbados,3,High-Risk Regions,High-Risk Regions,peak_case_rate_per_100k,-0.1678534287735942
Barbados,3,High-Risk Regions,High-Risk Regions,recovery_speed,0.1895753555111494
Barbados,3,High-Risk Regions,High-Risk Regions,days_to_50pct_vax,0.0867805692653685
Barbados,3,High-Risk Regions,High-Risk Regions,vax_acceleration,-0.3775023914573369
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,-0.4906439505918625
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,-0.3828987315515021
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,-0.3300830806816159
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,0.5407929080684492
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,-0.4456763052668058
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1706057989105788
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,1.3143632043648663
Belarus,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,0.3984508363938548
Belgium,3,High-Risk Regions,High-Risk Regions,case_rate_per_100k,1.0444086258653045
Belgium,3,High-Risk Regions,High-Risk Regions,mortality_rate_per_100k,1.2901324122825373
Belgium,3,High-Risk Regions,High-Risk Regions,testing_rate_per_1k,0.0
Belgium,3,High-Risk Regions,High-Risk Regions,vaccination_rate_pct,-0.0771346587725072
Belgium,3,High-Risk Regions,High-Risk Regions,hospitalization_rate_per_100k,-0.0647081069505546
Belgium,3,High-Risk Regions,High-Risk Regions,icu_rate_per_100k,-0.045597059625042
Belgium,3,High-Risk Regions,High-Risk Regions,case_fatality_rate_pct,-0.3374023533634759
Belgium,3,High-Risk Regions,High-Risk Regions,recent_case_growth,1.3196345038640476
Belgium,3,High-Risk Regions,High-Risk Regions,recent_death_growth,-0.0909244388084104
Belgium,3,High-Risk Regions,High-Risk Regions,days_to_peak,0.581587730920808
Belgium,3,High-Risk Regions,High-Risk Regions,peak_case_rate_per_100k,0.2318741077765467
Belgium,3,High-Risk Regions,High-Risk Regions,recovery_speed,0.0077453307254425
Belgium,3,High-Risk Regions,High-Risk Regions,days_to_50pct_vax,-0.1381200661727073
Belgium,3,High-Risk Regions,High-Risk Regions,vax_acceleration,-0.6745940007367405
